Product,Price
2.5kg Bulk 41% Milk Hot Chocolate Drops,Sale price£50.00
2.5kg Bulk 61% Dark Hot Chocolate Drops,Sale price£50.00
41% Milk Hot Chocolate Drops,Sale price£8.75
61% Dark Hot Chocolate Drops,Sale price£8.75
Almost Perfect,Sale priceFrom £1.00
Assorted Chocolate Malt Balls,Sale price£9.00
Blonde Caramel,Sale price£5.00
Blonde Chocolate Honeycomb - Bag,Sale price£8.50
Blonde Chocolate Malt Balls,Sale price£9.00
Blonde Chocolate Truffles,Sale price£19.95
Bulk 41% Milk Hot Chocolate Drops 750 grams,Sale price£17.50
Bulk 61% Dark Hot Chocolate Drops 750 grams,Sale price£17.50
Caramelised Milk,Sale price£5.00
Chai Caramel Latte,Sale price£5.00
Chocolate Caramelised Pecan Nuts,Sale price£8.95
Chocolate Celebration Hamper,Sale price£55.00
Christmas Cracker,Sale price£5.00
Cinnamon Toast,Sale price£5.00
Collection of 4 of our Best Selling Chocolate Malt Balls,Sale price£30.00
Colombia 61%,Sale price£5.00
Crunchy Biscuit,Sale price£5.00
Dark Chocolate Ginger,Sale price£8.95
Dark Chocolate Honeycomb - Bag,Sale price£8.50
Dark Chocolate Malt Balls,Sale price£9.00
