Article,Link,Date
中央纪委国家监委驻海关总署纪检监察组原副组长杨青录接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250719_435592.html,2025-07-19
国网湖北省电力有限公司原党委副书记李新国接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250718_435503.html,2025-07-18
中国进出口银行山东分行原副行长李明接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250718_435352.html,2025-07-18
国家电投吉林电力股份有限公司原董事长才延福接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250718_435320.html,2025-07-18
中国工商银行大连分行专家高亚林接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250717_435162.html,2025-07-17
中储粮集团中储棉公司原董事长廉凤国接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250715_434620.html,2025-07-15
中国石油工程建设有限公司原副总经理王春明接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202507/t20250711_434058.html,2025-07-11
农业农村部国际合作司原司长隋鹏飞接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250711_434035.html,2025-07-11
中国工商银行（澳门）股份有限公司原董事长姜壹盛接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250711_433904.html,2025-07-11
国家能源集团原一级业务总监严永胜接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250711_434017.html,2025-07-11
水利部长江水利委员会汉江集团总经理黄裕东接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250711_433936.html,2025-07-11
浙江省消防救援总队总队长蔡卫国接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250710_433793.html,2025-07-10
国家税务总局政策法规司原司长李三江接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250709_433479.html,2025-07-09
国家粮食和物资储备局四川局原局长关路林接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250704_432439.html,2025-07-04
国家信息中心大数据发展部主任于施洋接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250702_432103.html,2025-07-02
国家自然资源督察南京局原一级巡视员王春秋接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250702_432091.html,2025-07-02
中国大唐集团海外投资有限公司原副总经理张超接受审查调查,https://www.ccdi.gov.cn/yaowenn/202507/t20250702_432029.html,2025-07-02
云南省森林消防总队原党委副书记齐兴彬接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250630_431648.html,2025-06-30
教育部语言文字应用研究所原副厅级干部彭龙接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250630_431669.html,2025-06-30
国家金融监督管理总局机构恢复与处置司原一级巡视员刘炜接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250627_431172.html,2025-06-27
中国矿业大学(北京)原副校长范中启接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250627_431137.html,2025-06-27
浩吉铁路股份有限公司原董事长田利民接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250624_430493.html,2025-06-24
京沈铁路客运专线辽宁有限责任公司原总工程师孙学奎接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250624_430494.html,2025-06-24
原中国邮政集团上海市分公司总经理陈必昌接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250623_430279.html,2025-06-23
中国工商银行云南分行原行长许海接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250620_429746.html,2025-06-20
中国银行贵州省分行原副行长张文明接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250618_429209.html,2025-06-18
兰州大学第二医院原院长王琛接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250618_429266.html,2025-06-18
东风汽车集团原战略规划部副总经理唐腾接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250618_429185.html,2025-06-18
中铝集团中国铝业广西分公司原高级专务黄卫平接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250617_429007.html,2025-06-17
中国石化销售股份有限公司上海石油分公司原副总经理徐哲农接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250613_428456.html,2025-06-16
中国水利电力物资集团有限公司党委委员梁秀广接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250612_428144.html,2025-06-12
中国石油宁夏销售公司原党委书记韩非接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250606_427178.html,2025-06-06
原四川银监局党委书记、局长王筠权接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250606_427047.html,2025-06-06
联通数字科技有限公司高级副总裁澹台新谱接受审查调查,https://www.ccdi.gov.cn/yaowenn/202506/t20250604_426605.html,2025-06-04
原四川银监局党委书记、局长王泽平接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202505/t20250530_426105.html,2025-05-30
国家税务总局大企业税收管理司原一级巡视员胡效国接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250530_426063.html,2025-05-30
中国工商银行浙江分行原党委书记沈荣勤接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250530_426050.html,2025-05-30
原中国国电集团公司巡视员孟廷荣接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250530_425921.html,2025-05-30
国家电投集团湖北电力有限公司总经理邓勇接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250529_425713.html,2025-05-29
中国联通湖北省分公司副总经理吴涛接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250528_425539.html,2025-05-28
首都机场集团有限公司原党委副书记、总经理刘春晨接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202505/t20250527_425342.html,2025-05-27
国家能源集团科学技术委员会原副主任张剑接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250526_425044.html,2025-05-26
中银保险有限公司原党委书记、董事长周功华接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250523_424731.html,2025-05-23
国家发展改革委社会发展司二级巡视员王小龙接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250523_424555.html,2025-05-23
中铁城市发展投资集团原董事长黄天德接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250521_424126.html,2025-05-21
国家消防救援局应急通信和科技司负责人张昊接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250520_423871.html,2025-05-20
中国农业银行深圳市分行原党委副书记、副行长王国彪接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250512_422277.html,2025-05-12
石家庄海关原一级巡视员冯学平接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250512_422257.html,2025-05-12
中国农业银行河北省分行原党委委员、副行长陈元良接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250509_421890.html,2025-05-09
中国农业银行原首席专家兼浙江省分行原党委书记、行长冯建龙接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250507_421399.html,2025-05-07
中国邮政集团有限公司财务部原高级资深经理李玉杰接受审查调查,https://www.ccdi.gov.cn/yaowenn/202505/t20250507_421393.html,2025-05-07
广西壮族自治区消防救援总队原政治部主任韦贤日接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250429_420304.html,2025-04-29
中国建设银行浙江省分行原行长高强接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250429_420303.html,2025-04-29
财政部农业农村司司长吴奇修接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250428_420177.html,2025-04-28
中国建设银行深圳市分行资深副经理陈坤雄接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202504/t20250426_419611.html,2025-04-25
国家管网集团北京管道有限公司原副总经理魏东吼接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250424_419226.html,2025-04-25
原沈阳铁路局丹大快速铁路有限责任公司副董事长鲍思学接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250422_418696.html,2025-04-22
湖南省消防救援总队总队长郑西接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250421_418426.html,2025-04-21
国家税务总局山东省税务局原二级巡视员马奎升接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250421_418377.html,2025-04-21
原中国邮政集团公司西藏自治区分公司资深经理乔罗布接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250421_418271.html,2025-04-21
中国邮政集团浙江省分公司原高级资深经理裴英杰接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250421_418270.html,2025-04-21
东风公司东风资产管理有限公司原总经理卢锋接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250417_417544.html,2025-04-17
国投集团战略发展部副主任邓谦接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250416_417329.html,2025-04-16
中国石油冀东油田公司原副总经理席励新接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250411_416407.html,2025-04-11
中粮集团质量安全管理部副总监邵芳接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250411_416535.html,2025-04-11
中国农业银行数据中心原党委委员、纪委书记林鹏接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250411_416468.html,2025-04-11
中国舞蹈家协会主席冯双白接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202504/t20250404_415234.html,2025-04-04
中国舞蹈家协会原分党组书记、驻会副主席罗斌接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202504/t20250404_415233.html,2025-04-04
中信戴卡股份有限公司原党委委员梅兴龙接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250403_415000.html,2025-04-03
中信戴卡股份有限公司原党委副书记李梅生接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250403_414999.html,2025-04-03
中国建设银行河南省分行原行长石亭峰接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250403_414967.html,2025-04-03
深圳海事局党组书记、局长王建华接受审查调查,https://www.ccdi.gov.cn/yaowenn/202504/t20250401_414591.html,2025-04-01
中国银行四川省分行原党委书记、行长葛春尧接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202503/t20250330_414068.html,2025-03-29
国网湖南省电力有限公司原副总经理谭军武接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250328_413941.html,2025-03-28
中国气象局气象探测中心原主任李良序接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250328_413889.html,2025-03-28
中国人寿保险(集团)公司原总裁杨超接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250328_413861.html,2025-03-28
国家税务总局北京市税务局原党委书记李亚民接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250328_413723.html,2025-03-28
国家矿山安全监察局福建局原一级巡视员朱石福接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250327_413642.html,2025-03-27
国家能源集团原总经理助理刘金焕接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250327_413538.html,2025-03-27
中国南方航空股份有限公司工程技术分公司原总经理助理何庆柱接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250324_412900.html,2025-03-25
农发行河南省分行原党委书记陈晓东接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202503/t20250324_412917.html,2025-03-24
中国进出口银行辽宁省分行原行长刘正贵接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250321_412406.html,2025-03-21
中国电力建设集团有限公司原党委书记、董事马宗林接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202503/t20250320_412097.html,2025-03-19
中国石化西北油田分公司原副总经理秦强运接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250319_411858.html,2025-03-19
大连海关党委书记、关长刘大立接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250319_411847.html,2025-03-19
中铝集团沈阳铝镁设计研究院有限公司总经理黄飞接受审查调查,https://www.ccdi.gov.cn/yaowenn/202503/t20250304_408782.html,2025-03-04
中粮集团中粮科工股份有限公司原董事长姚专接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250228_408163.html,2025-02-28
中国工商银行河南省分行原行长许杰接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250227_408018.html,2025-02-27
交通银行浙江省分行原资深专家屠粮钢接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250226_407725.html,2025-02-26
水利部小浪底水利枢纽管理中心原主任殷保合接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202502/t20250226_407704.html,2025-02-26
京昆高速铁路西昆有限公司副总经理吴维洲接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250225_407442.html,2025-02-25
国家电力投资集团战略规划与发展部副总监曾武接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250217_405746.html,2025-02-17
原山东银保监局一级巡视员孙建宁接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250214_405386.html,2025-02-14
国家口岸管理办公室原常务副主任宋立强接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250214_405380.html,2025-02-14
国家电投上海能源科技发展有限公司副总经理张宝军接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250214_405287.html,2025-02-14
中铝集团云南冶金集团股份有限公司原董事长田永接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250214_405270.html,2025-02-14
中国邮政集团上海市分公司原资深经理毕晓哉接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250212_404853.html,2025-02-12
宝山钢铁股份有限公司原党委常委胡宏接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250211_404587.html,2025-02-11
中国远洋海运集团党组管理正职领导干部隋军接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250211_404589.html,2025-02-11
中国进出口银行北京分行原行长吴少华接受审查调查,https://www.ccdi.gov.cn/yaowenn/202502/t20250206_403486.html,2025-02-06
中国建筑第七工程局有限公司专务金宗朝接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250126_402866.html,2025-01-26
中国联通甘肃省分公司原副总经理徐全生接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250123_402273.html,2025-01-24
中国兵器工业集团有限公司所属哈尔滨第一机械集团有限公司原董事长薛建国接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250123_402265.html,2025-01-24
中国银行内蒙古自治区分行原副行长刘明接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250119_401295.html,2025-01-19
重庆市消防救援总队总队长李俊东接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250111_399884.html,2025-01-11
湖南航天有限责任公司原董事长焦继革接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250109_399531.html,2025-01-11
中国银行天津市分行原行长车德宇接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250110_399736.html,2025-01-10
中国医药集团有限公司总会计师杨珊华接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250109_399529.html,2025-01-10
国家体育总局排球运动管理中心原主任李全强接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250110_399660.html,2025-01-10
鞍钢集团有限公司董事会办公室专职董事熊宏启接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250109_399525.html,2025-01-09
深圳市消防救援支队党委副书记王帅接受审查调查,https://www.ccdi.gov.cn/yaowenn/202501/t20250103_398201.html,2025-01-03
人民日报社中国能源汽车传播集团有限公司原党委书记、董事长刘建林接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241228_397240.html,2024-12-28
人民日报数字传播有限公司原董事长、总经理徐涛接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241228_397239.html,2024-12-28
人民日报社山西分社社长何勇接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241228_397238.html,2024-12-28
中国石油江苏销售分公司原总经理王力军接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241226_396748.html,2024-12-27
国家税务总局厦门市税务局党委书记、局长张国钧接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241227_397080.html,2024-12-27
中国联通运营公司原副总裁朱立军接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241226_396729.html,2024-12-27
中国银行业协会原秘书长黄润中接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241226_396543.html,2024-12-26
东风公司东风柳州汽车有限公司党委书记宣颖接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241226_396725.html,2024-12-26
国家能源局华北监管局局长童光毅接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241226_396544.html,2024-12-26
中国邮政储蓄银行湖北省分行行长张雪松接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241225_396305.html,2024-12-25
中核集团原核环保工程事业部主任宋学斌接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241224_396062.html,2024-12-24
中国建设银行海南省分行原行长梁福成接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202412/t20241218_394933.html,2024-12-18
中国农业银行深圳分行原行长许锡龙接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241217_394640.html,2024-12-17
中国银行贵州省分行原副行长徐鸿周接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241216_394448.html,2024-12-16
国家开发银行黑龙江省分行原副行长刘凯接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241216_394369.html,2024-12-16
新华社山西分社副社长汪振望接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241216_394365.html,2024-12-16
中国石化润滑油有限公司党委副书记、纪委书记房家贵接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241213_394171.html,2024-12-13
中国信保山东分公司原党委委员葛玉接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241213_394015.html,2024-12-13
中国海洋石油有限公司钻完井办公室原主任董星亮接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241211_393382.html,2024-12-11
中国海洋石油集团有限公司原副总经济师唐代治接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241211_393381.html,2024-12-11
中国银行宁波市分行原党委书记钱建忠接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241210_393271.html,2024-12-10
中国黄金集团有限公司原副总经理赵占国接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241207_392697.html,2024-12-08
中铝集团广西华银铝业有限公司总经理程运材接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241207_392696.html,2024-12-07
中国供销粮油有限公司原副董事长徐烜接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241205_392287.html,2024-12-05
中国建设银行安徽省分行原副行长范绍杰接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241204_392022.html,2024-12-04
中国有色矿业集团有限公司原副总经理陶星虎接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241203_391739.html,2024-12-04
国家税务总局督察内审司原巡视员张昆胜接受审查调查,https://www.ccdi.gov.cn/yaowenn/202412/t20241203_391762.html,2024-12-04
中国石化工程建设有限公司副总经理冯永生接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202411/t20241130_391342.html,2024-11-30
国网天津市电力公司原党委书记、董事长赵亮接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202411/t20241130_391346.html,2024-11-29
中国电信四川分公司党委书记郑成渝接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241128_390987.html,2024-11-29
中国财经出版传媒集团副总经理宋全安接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241122_389618.html,2024-11-22
中国工商银行山东省分行原副行长李明接受审查调查,https://www.ccdi.gov.cn/scdcn/zyyj/zjsc/202411/t20241122_389785.html,2024-11-22
中国证监会原法律部副主任吴国舫接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241120_389065.html,2024-11-20
故宫博物院原常务副院长王亚民接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241115_388096.html,2024-11-15
工银安盛人寿保险有限公司副总裁陶仲伟接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241115_388187.html,2024-11-15
中信保诚人寿保险有限公司原党委书记赵小凡接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241115_388052.html,2024-11-15
中国进出口银行吉林省分行原副行长郑鹏接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241115_388214.html,2024-11-15
中国证监会原发行监管部副主任李筱强接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241115_388183.html,2024-11-15
乌鲁木齐海关党委委员王传杰接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241115_388029.html,2024-11-15
中铝集团贵阳铝镁设计研究院有限公司原高级专务黄粮成接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241112_387300.html,2024-11-12
中石油昆仑燃气有限公司原副总经理王永纯接受监察调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241108_386560.html,2024-11-08
水利部长江水利委员会汉江集团党委常委、副总经理朱春省接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241104_385451.html,2024-11-05
上海海事局原督办凌黎华接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241104_385450.html,2024-11-04
中储粮储运有限公司原副总经理刘福群接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241101_384912.html,2024-11-02
国家管网集团原高级技术专家黄泽俊接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241101_384911.html,2024-11-01
国家税务总局陕西省税务局原局长包东红接受审查调查,https://www.ccdi.gov.cn/yaowenn/202411/t20241101_384861.html,2024-11-01
中国工商银行杭州金融研修院党委书记、院长蒋伟接受审查调查,https://www.ccdi.gov.cn/yaowenn/202410/t20241030_384354.html,2024-10-30
华能能源交通产业控股有限公司原董事长吴永钢接受审查调查,https://www.ccdi.gov.cn/yaowenn/202410/t20241028_383811.html,2024-10-28
郑州海关党委委员、副关长孙晨明接受审查调查,https://www.ccdi.gov.cn/yaowenn/202410/t20241028_383683.html,2024-10-28
中国银行集中采购中心副总经理关小虎接受审查调查,https://www.ccdi.gov.cn/yaowenn/202410/t20241026_383562.html,2024-10-26
中国建设银行河南省分行原副行长路建华接受审查调查,https://www.ccdi.gov.cn/yaowenn/202410/t20241025_383497.html,2024-10-25
中国人民财产保险股份有限公司原党委委员张孝礼接受审查调查,https://www.ccdi.gov.cn/yaowenn/202410/t20241025_383265.html,2024-10-25
