Region,Store Name,Address,City,Email,Phone
AB,Shutter Bee Photography - Bonnyville,"5009 50th Ave, PO Box 7118","Bonnyville, AB, Canada",shutterbee.bville@outlook.com,(780) 826-5733
AB,FastFoto,1217 3800 Memorial Dr. N.E.,"Calgary, AB, Canada",alitahan@hotmail.com,403-454-2474
AB,Calgary Custom Photo Services - North,1632 14 Ave NW,"Calgary, AB, Canada",ccpsnorth@teamccps.com,403-282-3800
AB,Calgary Custom Photo Services - South,9737 Macleod Tr SW,"Calgary, AB, Canada",ccpssouth@teamccps.com,4032553880
AB,McBain Camera Ltd. - Head Office,10805 107 Ave,"Edmonton, AB, Canada",sales.107ave@mcbaincamera.com,1-800-661-6980
AB,McBain Camera Ltd. - Southgate,"5015-111st NW, Southgate Shopping Centre","Edmonton, AB, Canada",sales.sg@mcbaincamera.com,(780) 434-0873
AB,McBain Camera Ltd. - (West Edmonton Mall),"8882-170st NW, #1926 West Edmonton Mall","Edmonton, AB, Canada",sales.wem@mcbaincamera.com,(780) 454-2929
AB,Fairview Value Drug Mart,10216 110 Street,"Fairview, AB, Canada",photo07@telus.net,(780) 835-2355
AB,Photomagic foto source,10214 Centennial Drive,"Fort Mcmurray, AB, Canada",photomagic@fotosource.com,7807900460
AB,Watsons Foto Source,"12125 99th Street, Unit 103","Grande Prairie, AB, Canada",carrie@watsons.studio,(780) 532-1779
AB,Bearberry Photo & Canadiana,612 Connaught Drive,"Jasper, AB, Canada",bearberry@fotosource.com,(780) 852-1112
AB,La Crete Co-op Ltd,10502 100th Street,"La Crete, AB, Canada",admin@lacreteco-op.com,(780) 928-3963
AB,Banff Photography at The Fairmont Chateau Lake Louise,111 Lake Louise Dr,"Lake Louise, AB, Canada",lisa@banffphotography.com,403-522-3653
AB,McBain Camera Ltd. - Lethbridge,1010 Mayor Magrath Dr. S,"Lethbridge, AB, Canada",sales.lb@mcbaincamera.com,1-800-661-6980
AB,Boylan Imaging,540 18th Street SW,"Medicine Hat, AB, Canada",boylans@fotosource.com,(403) 526-9599
AB,McBain Camera Ltd. - Red Deer,5129 Alexander Way (48 St.),"Red Deer, AB, Canada",sales.reddeer@mcbaincamera.com,(403) 341-5885
AB,Michael's Studio Foto Source,4602-51 St. PO BOX 35,"Rimbey, AB, Canada",michaelsstudio@fotosource.com,(403) 843-2343
AB,McBain Camera Ltd. - Sherwood Park,2020 Sherwood Drive,"Sherwood Park, AB, Canada",sales.sp@mcbaincamera.com,(780) 467-4156
AB,McBain Camera Ltd. - (St Albert),"375 St Albert Trail, #115 St Albert Centre Mall","St. Albert, AB, Canada",sales.sa@mcbaincamera.com,(780) 458-6160
AB,Shutter Bee Photography - St Paul,"4819 50 ave, Box 1878","St. Paul, AB, Canada",shutterbee.stpaul@outlook.com,(780) 645-2962
AB,Long's 1 Hour Photo,4939 - 50th Avenue,"Vermilion, AB, Canada",longs@fotosource.com,(780) 853-4303
BC,Photo Tech Foto Source,"1260 Shoppers Row, Unit #110","Campbell River, BC, Canada",phototech@shaw.ca,(250) 286-1233
BC,Cranbrook's Foto Source,800 Baker Street,"Cranbrook, BC, Canada",chris@cranbrookphoto.com,(250) 489-5336
BC,Unforgettable Memories Foto Source,9315-100th Ave,"Fort St. John, BC, Canada",unforgettable@fotosource.com,250-785-2711
BC,Photo Expressions Foto Source,140-2250 Fremont Street,"Port Coquitlam, BC, Canada",info@photoexpressions.ca,(604) 463-3654
BC,Shutter Shack Foto Source,221 3rd Avenue West,"Prince Rupert, BC, Canada",photo@shuttershack.ca,(250) 624-4233
BC,Pharmasave 213,307 Victoria Road,"Revelstoke, BC, Canada",photolab@pharmasaverevelstoke.com,(250) 837-2028
BC,Great West Drugs Ltd.,"270 Hudson AVE NE, PO Box 1231","Salmon Arm, BC, Canada",fs244@forewest.ca,250 832-8195
BC,D & R Photo,6530 Fraser Street,"Vancouver, BC, Canada",cs@dandrpro.com,(604) 324-3725
BC,Rocket Reprographics,403 West Cordova Street,"Vancouver, BC, Canada",order@rocketrepro.com,604 682 6000
BC,Whistler Foto Source,Crystal Lodge # 4 4154 Village Green,"Whistler, BC, Canada",whistler@fotosource.com,(604) 932-6612
BC,Raef On Design,107-1461 Johnston Rd,"White Rock, BC, Canada",info@raefon.ca,604-888-4462
MB,Brandon Photographics,848-18th Street,"Brandon, MB, Canada",lab@brandonphoto.com,(204) 727-3263
MB,Photo Central Foto Source,957 Portage Ave,"Winnipeg, MB, Canada",info@photocentral.ca,(204) 774-4343
MB,Don's Photo - Winnipeg (Main Street),1839 Main St,"Winnipeg, MB, Canada",sales@donsphoto.ca,(204) 942-7887
MB,Don's Photo - Winnipeg (Portage),410 Portage Ave,"Winnipeg, MB, Canada",410portage@donsphoto.ca,(204) 942-3143
NB,Harvey Studios,372 Queen Street,"Fredericton, NB, Canada",harveys@fotosource.com,(888) 512-2444
NB,Ivan's Camera Foto Source,181 St. George Street,"Moncton, NB, Canada",ivans@fotosource.com,(506) 857-4018
NL,Foto Experts Inc.,"44 Maple Valley Rd, Corner Brook Plaza","Corner Brook, NL, Canada",sales@fotoexpertsinc.ca,709-632-4830
NL,Altronics Limited - Audio Video Unlimited,74 Broadway (Broadway Minimall),"Corner Brook, NL, Canada",online@altronicsltd.com,1-800-563-6351
NL,PhotoTec Services Inc.,"50 Pippy Place, Unit 1A","St. John's, NL, Canada",sales@phototec.ca,(877) 753-0047
NS,The Photo Shop at the 5-100 Foto Source,"245 Main Street, P.O. Box 1538","Antigonish, NS, Canada",sjewkes@eastlink.ca,(902) 863-2571
NS,Atlantic Photo Supply Halifax - Dartmouth,"204 Brownlow Avenue, Unit 110","Dartmouth, NS, Canada",allen@atlanticphotosupply.com,902) 423-6724
NS,Atlantic Photo Supply Halifax - Halifax,6111 Pepperell Street,"Halifax, NS, Canada",allen@atlanticphotosupply.com,(902) 423-6724
NS,Pridham's Studio Foto Source,143 Archimedes Street,"New Glasgow, NS, Canada",pridhamsstudio@eastlink.ca,1 902 752 4282
NS,Japan Camera Centre J107,47 Pitt Street,"Sydney, NS, Canada",sydney@japancamera.com,(902) 539-5040
NS,Quality Cameras Foto Source,245 George Street,"Sydney, NS, Canada",john@quality-cameras.com,(902) 562-3600
NS,Pridham's Studio,"594 Prince Street, PO Box 670","Truro, NS, Canada",pridhamstruro@eastlink.ca,1 902 895 1694
ON,Japan Camera - Belleville,"366 North Front St, Bay Camera Limited","Belleville, ON, Canada",evoyj@cogeco.net,(613) 966-5056
ON,Hunter's Foto Source,"14341 Old Scugog Rd., P.O. Box 280","Blackstock, ON, Canada",brett@huntersfotosource.com,(888) 883-3220
ON,Fairview Photo Lab foto source (Carmans),403 Fairview Drive,"Brantford, ON, Canada",fairviewphotolab@rogers.com,(519) 756-2942
ON,Burlington Camera Inc.,489 Guelph Line,"Burlington, ON, Canada",info@burlingtoncamera.com,(905) 632-7722
ON,Foto Source Caledonia,"345 Argyle St S., Unit 7","Caledonia, ON, Canada",caledonia.fotosource@rogers.com,(905) 765-5441
ON,Brian's Foto Inc Foto Source,57 Arthur street south,"Elmira, ON, Canada",primuspilum@hotmail.com,(519) 210-0608
ON,Elmira Foto Source (online pick up location),25 Industrial Dr,"Elmira, ON, Canada",pondsfoto@gmail.com,(519) 823-5610
ON,Milton Foto Source - Georgetown,"27-280 Guelph St., Marketplace Mall","Georgetown, ON, Canada",customerservice@georgetownphoto.ca,(905) 873-1237
ON,Foto Source Guelph (Ponds),93 Wyndham St. N.,"Guelph, ON, Canada",quinn@pondsfoto.com,(519) 823-5610
ON,Bell Arte Camera,85 Ottawa Street North,"Hamilton, ON, Canada",bellartecamera@cogeco.net,(905) 545-8877
ON,Cavalcade Color Lab,34 King William Street,"Huntsville, ON, Canada",kelly.cavalcade@gmail.com,(705) 789-9603
ON,Camera Kingston Foto Source,114 Princess Street,"Kingston, ON, Canada",sales@camerakingston.com,(613) 549-3747
ON,Photo Master,385 Frederick Street,"Kitchener, ON, Canada",photomaster@rogers.com,(519) 744-9581
ON,Kitchener foto source,451 Ottawa St South,"Kitchener, ON, Canada",quinn@pondsfoto.com,519-208-0057
ON,AFS Aerial Photography Inc.,2100 Crumlin Sideroad,"London, ON, Canada",lynda@aerialphotography.ca,(519) 453-8999
ON,Milton Photo,55 Ontario Street,"Milton, ON, Canada",customerservice@miltonphoto.ca,(905) 878-3361
ON,Milton Photo Source - Erin Mills,5100 Erin Mills Pkwy,"Mississauga, ON, Canada",customerservice@erinmillsphoto.ca,(905) 699-3113
ON,Photo Metro,191 Lakeshore Drive,"North Bay, ON, Canada",prints@photometro.ca,(705) 472-9311
ON,Polar Studio,191 Lakeshore Drive,"North Bay, ON, Canada",brian@polarstudio.ca,705-472-1621
ON,F-Stop Foto & Framing,"98 First Street, Unit 4","Orangeville, ON, Canada",michael@fstoponline.com,(519) 941-4381
ON,Galaxy Camera,525 Bank Street,"Ottawa, ON, Canada",galaxycamera@aol.com,(613) 234-8831
ON,Parsons Foto Source,1033 2nd Ave. East,"Owen Sound, ON, Canada",parsons@fotosource.com,(519) 376-0330
ON,Boggio Pharmacy/ Photographic Memories,200 Catharine St.,"Port Colborne, ON, Canada",photos@boggios.com,(905) 834-3514
ON,Golden Electronics,9019 Bayview Avenue Unit #22,"Richmond Hill, ON, Canada",goldenelectronics2@rogers.com,905-881-7328
ON,Royal Photo,2374 Laurier Street,"Rockland, ON, Canada",royalphoto@bellnet.ca,(613) 446-1771
ON,Carman's foto source - Sarnia,101 Ontario St.,"Sarnia, ON, Canada",sn@carmans.com,(519) 344-0242
ON,Phoenix Professional Labs,"50 Weybright Court, Unit #18","Scarborough, ON, Canada",info@phoenixprolabs.com,(416) 290-5129
ON,Frederick's Foto Source,314 Lake Street,"St. Catharines, ON, Canada",info@fredericksphoto.com,(905) 646-4044
ON,Carman's foto source - Stratford,44 Wellington St,"Stratford, ON, Canada",sf@carmans.com,(519) 271-6261
ON,Primary Image,1263 Amber Drive,"Thunder Bay, ON, Canada",dean@primaryfoto.ca,(807) 345-7041
ON,Annex Photo,362 Bloor St W,"Toronto, ON, Canada",photos@annexphoto.ca,416-922-0920
ON,DV Shop Inc.,3422 Dundas St. West,"Toronto, ON, Canada",storm@dvshop.ca,(416) 604-1492
ON,FilmPlus Photo Supply,327 Symington Avenue,"Toronto, ON, Canada",sales@filmplus.ca,(416) 535-3747
ON,Fotobox,936 The Queensway,"Toronto, ON, Canada",lanny@fotobox.ca,(647) 430-8499
ON,Photo 123,2 Homewood Avenue,"Toronto, ON, Canada",photo@photo123.com,(416) 920-3844
ON,West Camera,"690 Queen St., West","Toronto, ON, Canada",westcamera@gmail.com,(416) 504-9432
ON,Carman's foto source - Woodstock,230 Springbank Ave.,"Woodstock, ON, Canada",wd@carmans.com,(519) 537-3636
PE,PEI Photo Lab,55 Queen St.,"Charlottetown, PE, Canada",peiphotolab@eastlink.ca,7057962529
QC,Gosselin Foto Source - Brossard,"8640, boul. Leduc - Suite 50","Brossard, QC, Canada",dix30@gosselinphoto.ca,450 904-0808
QC,Justin Maltais Photo,34 rue Racine Est,"Chicoutimi, QC, Canada",magasin@justinmaltaisphoto.com,(418) 549-7991
QC,Centre Japonais de la Photo - Place du Saguenay,"1324, Boulevard Talbot","Chicoutimi, QC, Canada",info@centrejaponais.qc.ca,418-543-0490
QC,Fotoplus Delson,10 D Georges-Gagné,"Delson, QC, Canada",info@fotoplus.ca,(450) 638-4288
QC,Granby Photo,22 rue Centre,"Granby, QC, Canada",photo@granbyphoto.com,(450) 372-3350
QC,Photo Minutes Foto Source,40 rue Evangeline,"Granby, QC, Canada",photominutes@fotosource.com,(450) 378-1255
QC,Studio May,459 Main Road,"Hudson, QC, Canada",info@studiomay.ca,(450) 458-4621
QC,Photo J,200 rue Baby,"Joliette, QC, Canada",rgenereux@photoj.ca,450-759-6956
QC,Gosselin Foto Source - Laval,"Galeries Laval, 1637 boul. Le Corbusier","Laval, QC, Canada",laval@gosselinphoto.ca,(450) 682-3999
QC,Photo Laplante,350 boul. des Laurentides,"Laval, QC, Canada",photolaplante@fotosource.com,(450) 669-0595
QC,Centre d'Images St-Jean,755 Avenue Taniata,"Lévis, QC, Canada",imagestjean@fotosource.com,(418) 839-8481
QC,Centre Japonais de la photo - Centre Eaton,625 Saint-Catherine St W,"Montreal, QC, Canada",centreeaton@centrejaponaisdelaphoto.com,(514) 842-5133
QC,Centre Japonais de la Photo - Centre Rockland,"2305 Rockland Road, Suite 125","Montreal, QC, Canada",centrerockland@centrejaponais.com,(514) 341-1101
QC,Photo Service Foto Source,222 Rue Notre-Dame Ouest,"Montreal, QC, Canada",info@photoservice.ca,514-849-2291
QC,Photo St-Denis,3772 St-Denis,"Montreal, QC, Canada",info@photostdenis.com,(514) 288-1405
QC,Royal Photo Inc.,2106 boul. Rosemont,"Montreal, QC, Canada",info@royalphoto.com,(514) 273-1723
QC,ABC Office Equipment,6785 Hutchinson St,"Montreal, QC, Canada",gg@abcoffice.ca,(514) 733-6300
QC,Pratt Innovations,5805 Decarie Blvd,"Montreal, QC, Canada",info@prattimage.ca,514-738-0119
QC,Camtec Photo - Notre Dame,26 Notre-Dame East,"Montreal, QC, Canada",Jeanb@camtecphoto.com,514-875-5110
QC,Camtec Photo - McGill,495 rue McGill,"Montreal, QC, Canada",jeanb@camtecphoto.com,514-842-4818
QC,Gosselin Photo - Montrléal,351 Ste-Catherine,"Montreal, QC, Canada",montreal@gosselinphoto.ca,514-657-2588
QC,Excellent Photo,5387 Park Ave,"Montreal, QC, Canada",eli@excellentphoto.ca,18332174686
QC,Lord Photo Inc.,45 Boul St-Luc,"Saint Jean Sur Richelieu, QC, Canada",paulc@lordphoto.ca,(450) 348-7569
QC,Gosselin Foto Source - Québec,"Place de la Cité, 2600 boul. Laurier, bureau 100","Sainte Foy, QC, Canada",placedelacite@gosselinphoto.ca,418) 656-6309
QC,Photo des Moulins,744 boul. Des Seigneurs,"Terrebonne, QC, Canada",info@photodesmoulins.com,(450) 471-7147
QC,Gosselin Foto Source - Trois-Rivières,3748 Boul. des Forges,"Trois-Rivieres, QC, Canada",trois-rivieres@gosselinphoto.ca,(819) 376-9191
QC,Victoriaville Photo Inc. Foto Source,136 Notre-Dame Est,"Victoriaville, QC, Canada",info@pixm.com,819 758-7536
SK,Wells Camera & Sound Foto Source,1102 Main Street North,"Moose Jaw, SK, Canada",wells.sales@sasktel.net,(306) 693-3494
SK,Bird Films,"4621 Rae Street, #3","Regina, SK, Canada",birdfilms@accesscomm.ca,(306) 586-0311
SK,Don's Photo - Regina,210 - 2410 Dewdney Avenue,"Regina, SK, Canada",regina@donsphoto.ca,(306) 347-7887
SK,Don's Photo - Saskatoon,1902 8th Street East,"Saskatoon, SK, Canada",Saskatoon@donsphoto.ca,(306) 934-3111
